,room,room_type,campus
322,Г-320,комп,"Проспект Вернадского, д.78"
323,Г-322-а,комп,"Проспект Вернадского, д.78"
324,Г-322-б,лаб,"Проспект Вернадского, д.78"
325,Г-322-в,,
326,Г-322-в,лаб,"Проспект Вернадского, д.78"
327,Г-401-1,комп,"Проспект Вернадского, д.78"
328,Г-401-2,комп,"Проспект Вернадского, д.78"
329,Г-402,лаб,"Проспект Вернадского, д.78"
330,Г-403,комп,"Проспект Вернадского, д.78"
331,Г-411,комп,"Проспект Вернадского, д.78"
332,Г-413,комп,"Проспект Вернадского, д.78"
333,Г-415,комп,"Проспект Вернадского, д.78"
334,Г-415,,
335,Г-415329,,"ул. Стромынка, 20"
336,Г-416,комп,"Проспект Вернадского, д.78"
337,Г-420-1,ауд,"Проспект Вернадского, д.78"
338,Г-423,ауд,"Проспект Вернадского, д.78"
339,Г-424-1,комп,"Проспект Вернадского, д.78"
340,Г-424-3,комп,"Проспект Вернадского, д.78"
341,Г-424-4,комп,"Проспект Вернадского, д.78"
342,Г-426,комп,"Проспект Вернадского, д.78"
343,Г-427,комп,"Проспект Вернадского, д.78"
344,Г-428,ауд,"Проспект Вернадского, д.78"
345,Д,,
346,Д-208,ауд,"Проспект Вернадского, д.78"
347,Д-210,ауд,"Проспект Вернадского, д.78"
348,Дистанционно,ауд,СДО
349,Е 8-Б,,"Проспект Вернадского, д.78"
350,Е-23,комп,"Проспект Вернадского, д.78"
351,Е-24,ауд,"Проспект Вернадского, д.78"
352,Е-32,ауд,"Проспект Вернадского, д.78"
353,Е-34,ауд,"Проспект Вернадского, д.78"
354,Е-40,ауд,"Проспект Вернадского, д.78"
355,Е-8б,,"Проспект Вернадского, д.78"
356,Е40,ауд,"Проспект Вернадского, д.78"
357,И-201,комп,"Проспект Вернадского, д.78"
358,И-201,,
359,И-202-а,комп,"Проспект Вернадского, д.78"
360,И-202-б,комп,"Проспект Вернадского, д.78"
361,И-203-а,комп,"Проспект Вернадского, д.78"
362,И-203-б,комп,"Проспект Вернадского, д.78"
363,И-204-а,комп,"Проспект Вернадского, д.78"
364,И-204-б,комп,"Проспект Вернадского, д.78"
365,И-204-в,,
